Region,Month,Year,Action,Reason
Nilgiri,June,2023,Increase Supply,"Low supply (0.66), demand exceeds supply."
Arunachal Pradesh,May,2023,Increase Supply,"Low supply (0.65), demand exceeds supply."
Munnar,May,2023,Reduce Supply,"High supply (1.42), oversupply risk."
Tripura,September,2023,Monitor,Balanced supply-demand (0.95).
Munnar,December,2023,Monitor,Balanced supply-demand (0.83).
Terai,June,2023,Increase Supply,"Low supply (0.59), demand exceeds supply."
Meghalaya,July,2023,Monitor,Balanced supply-demand (0.84).
Darjeeling,May,2023,Increase Supply,"Low supply (0.64), demand exceeds supply."
Assam,December,2023,Monitor,Balanced supply-demand (0.95).
Terai,October,2023,Reduce Supply,"High supply (1.83), oversupply risk."
Wayanad,November,2023,Monitor,Balanced supply-demand (0.92).
Wayanad,September,2023,Reduce Supply,"High supply (1.80), oversupply risk."
Arunachal Pradesh,October,2023,Reduce Supply,"High supply (1.82), oversupply risk."
Assam,December,2023,Reduce Supply,"High supply (2.92), oversupply risk."
Assam,November,2023,Increase Supply,"Low supply (0.53), demand exceeds supply."
Wayanad,February,2023,Increase Supply,"Low supply (0.35), demand exceeds supply."
Assam,May,2023,Monitor,Balanced supply-demand (0.93).
Dooars,June,2023,Reduce Supply,"High supply (1.23), oversupply risk."
Terai,March,2023,Monitor,Balanced supply-demand (0.89).
Tripura,September,2023,Increase Supply,"Low supply (0.64), demand exceeds supply."
Munnar,November,2023,Monitor,Balanced supply-demand (0.89).
Assam,July,2023,Reduce Supply,"High supply (1.99), oversupply risk."
Assam,December,2023,Monitor,Balanced supply-demand (1.13).
Terai,March,2023,Monitor,Balanced supply-demand (0.86).
Tripura,November,2023,Monitor,Balanced supply-demand (1.05).
Darjeeling,February,2023,Increase Supply,"Low supply (0.71), demand exceeds supply."
Meghalaya,February,2023,Increase Supply,"Low supply (0.68), demand exceeds supply."
Tripura,September,2023,Reduce Supply,"High supply (2.39), oversupply risk."
Dooars,July,2023,Reduce Supply,"High supply (2.24), oversupply risk."
Assam,December,2023,Increase Supply,"Low supply (0.53), demand exceeds supply."
Arunachal Pradesh,December,2023,Monitor,Balanced supply-demand (0.98).
Dooars,February,2023,Increase Supply,"Low supply (0.60), demand exceeds supply."
Wayanad,September,2023,Increase Supply,"Low supply (0.37), demand exceeds supply."
Arunachal Pradesh,December,2023,Increase Supply,"Low supply (0.67), demand exceeds supply."
Darjeeling,July,2023,Reduce Supply,"High supply (1.70), oversupply risk."
Assam,March,2023,Increase Supply,"Low supply (0.77), demand exceeds supply."
Assam,July,2023,Increase Supply,"Low supply (0.52), demand exceeds supply."
Munnar,April,2023,Increase Supply,"Low supply (0.50), demand exceeds supply."
Meghalaya,September,2023,Increase Supply,"Low supply (0.60), demand exceeds supply."
Terai,June,2023,Monitor,Balanced supply-demand (0.93).
Darjeeling,January,2023,Reduce Supply,"High supply (1.66), oversupply risk."
Darjeeling,July,2023,Increase Supply,"Low supply (0.37), demand exceeds supply."
Arunachal Pradesh,May,2023,Increase Supply,"Low supply (0.78), demand exceeds supply."
Darjeeling,December,2023,Monitor,Balanced supply-demand (0.88).
Tripura,February,2023,Increase Supply,"Low supply (0.40), demand exceeds supply."
Nilgiri,April,2023,Increase Supply,"Low supply (0.61), demand exceeds supply."
Terai,December,2023,Increase Supply,"Low supply (0.46), demand exceeds supply."
Darjeeling,February,2023,Increase Supply,"Low supply (0.42), demand exceeds supply."
Tripura,November,2023,Increase Supply,"Low supply (0.52), demand exceeds supply."
Darjeeling,May,2023,Increase Supply,"Low supply (0.57), demand exceeds supply."
Wayanad,July,2023,Reduce Supply,"High supply (2.16), oversupply risk."
Darjeeling,July,2023,Monitor,Balanced supply-demand (0.80).
Wayanad,March,2023,Increase Supply,"Low supply (0.57), demand exceeds supply."
Tripura,October,2023,Monitor,Balanced supply-demand (1.14).
Arunachal Pradesh,March,2023,Increase Supply,"Low supply (0.49), demand exceeds supply."
Assam,October,2023,Monitor,Balanced supply-demand (1.06).
Tripura,February,2023,Increase Supply,"Low supply (0.57), demand exceeds supply."
Wayanad,May,2023,Monitor,Balanced supply-demand (0.87).
Wayanad,November,2023,Increase Supply,"Low supply (0.30), demand exceeds supply."
Tripura,July,2023,Monitor,Balanced supply-demand (0.95).
Meghalaya,February,2023,Increase Supply,"Low supply (0.73), demand exceeds supply."
Wayanad,November,2023,Reduce Supply,"High supply (1.98), oversupply risk."
Munnar,May,2023,Increase Supply,"Low supply (0.48), demand exceeds supply."
Darjeeling,November,2023,Increase Supply,"Low supply (0.64), demand exceeds supply."
Assam,May,2023,Increase Supply,"Low supply (0.59), demand exceeds supply."
Terai,September,2023,Increase Supply,"Low supply (0.68), demand exceeds supply."
Tripura,July,2023,Increase Supply,"Low supply (0.37), demand exceeds supply."
Dooars,May,2023,Increase Supply,"Low supply (0.68), demand exceeds supply."
Darjeeling,February,2023,Increase Supply,"Low supply (0.35), demand exceeds supply."
Darjeeling,September,2023,Increase Supply,"Low supply (0.70), demand exceeds supply."
Darjeeling,October,2023,Increase Supply,"Low supply (0.30), demand exceeds supply."
Munnar,April,2023,Increase Supply,"Low supply (0.76), demand exceeds supply."
Arunachal Pradesh,February,2023,Increase Supply,"Low supply (0.51), demand exceeds supply."
Meghalaya,April,2023,Increase Supply,"Low supply (0.38), demand exceeds supply."
Wayanad,May,2023,Increase Supply,"Low supply (0.69), demand exceeds supply."
Darjeeling,October,2023,Increase Supply,"Low supply (0.58), demand exceeds supply."
Munnar,May,2023,Reduce Supply,"High supply (1.43), oversupply risk."
Nilgiri,August,2023,Increase Supply,"Low supply (0.68), demand exceeds supply."
Arunachal Pradesh,September,2023,Increase Supply,"Low supply (0.42), demand exceeds supply."
Assam,February,2023,Increase Supply,"Low supply (0.56), demand exceeds supply."
Terai,October,2023,Monitor,Balanced supply-demand (0.99).
Darjeeling,September,2023,Monitor,Balanced supply-demand (0.96).
Wayanad,June,2023,Reduce Supply,"High supply (1.93), oversupply risk."
Terai,August,2023,Monitor,Balanced supply-demand (0.95).
Wayanad,September,2023,Increase Supply,"Low supply (0.51), demand exceeds supply."
Meghalaya,June,2023,Monitor,Balanced supply-demand (0.90).
Munnar,March,2023,Increase Supply,"Low supply (0.80), demand exceeds supply."
Arunachal Pradesh,September,2023,Increase Supply,"Low supply (0.50), demand exceeds supply."
Terai,September,2023,Increase Supply,"Low supply (0.29), demand exceeds supply."
Dooars,December,2023,Increase Supply,"Low supply (0.53), demand exceeds supply."
Arunachal Pradesh,November,2023,Increase Supply,"Low supply (0.77), demand exceeds supply."
Terai,March,2023,Monitor,Balanced supply-demand (0.94).
Dooars,December,2023,Increase Supply,"Low supply (0.50), demand exceeds supply."
Assam,October,2023,Increase Supply,"Low supply (0.49), demand exceeds supply."
Assam,August,2023,Increase Supply,"Low supply (0.47), demand exceeds supply."
Dooars,April,2023,Increase Supply,"Low supply (0.65), demand exceeds supply."
Tripura,December,2023,Increase Supply,"Low supply (0.38), demand exceeds supply."
Dooars,September,2023,Increase Supply,"Low supply (0.37), demand exceeds supply."
Meghalaya,May,2023,Reduce Supply,"High supply (1.62), oversupply risk."
Munnar,October,2023,Increase Supply,"Low supply (0.61), demand exceeds supply."
Darjeeling,September,2023,Reduce Supply,"High supply (2.14), oversupply risk."
Assam,September,2023,Increase Supply,"Low supply (0.75), demand exceeds supply."
Darjeeling,May,2023,Increase Supply,"Low supply (0.40), demand exceeds supply."
Wayanad,July,2023,Increase Supply,"Low supply (0.35), demand exceeds supply."
Dooars,January,2023,Reduce Supply,"High supply (1.97), oversupply risk."
Arunachal Pradesh,November,2023,Monitor,Balanced supply-demand (1.07).
Munnar,June,2023,Increase Supply,"Low supply (0.67), demand exceeds supply."
Meghalaya,April,2023,Monitor,Balanced supply-demand (1.04).
Arunachal Pradesh,October,2023,Increase Supply,"Low supply (0.77), demand exceeds supply."
Darjeeling,June,2023,Increase Supply,"Low supply (0.39), demand exceeds supply."
Nilgiri,March,2023,Increase Supply,"Low supply (0.51), demand exceeds supply."
Assam,September,2023,Reduce Supply,"High supply (1.85), oversupply risk."
Wayanad,September,2023,Increase Supply,"Low supply (0.44), demand exceeds supply."
Wayanad,February,2023,Increase Supply,"Low supply (0.32), demand exceeds supply."
Munnar,September,2023,Increase Supply,"Low supply (0.56), demand exceeds supply."
Munnar,June,2023,Monitor,Balanced supply-demand (0.93).
Meghalaya,June,2023,Increase Supply,"Low supply (0.36), demand exceeds supply."
Darjeeling,February,2023,Reduce Supply,"High supply (1.96), oversupply risk."
Dooars,January,2023,Increase Supply,"Low supply (0.52), demand exceeds supply."
Assam,January,2023,Reduce Supply,"High supply (1.56), oversupply risk."
Tripura,February,2023,Increase Supply,"Low supply (0.74), demand exceeds supply."
Terai,May,2023,Monitor,Balanced supply-demand (0.82).
Arunachal Pradesh,September,2023,Monitor,Balanced supply-demand (0.81).
Terai,December,2023,Reduce Supply,"High supply (1.32), oversupply risk."
Meghalaya,December,2023,Monitor,Balanced supply-demand (1.09).
Terai,June,2023,Increase Supply,"Low supply (0.37), demand exceeds supply."
Arunachal Pradesh,October,2023,Increase Supply,"Low supply (0.53), demand exceeds supply."
Nilgiri,March,2023,Monitor,Balanced supply-demand (0.84).
Nilgiri,July,2023,Monitor,Balanced supply-demand (0.89).
Dooars,August,2023,Increase Supply,"Low supply (0.56), demand exceeds supply."
Nilgiri,July,2023,Increase Supply,"Low supply (0.46), demand exceeds supply."
Munnar,January,2023,Monitor,Balanced supply-demand (0.87).
Darjeeling,September,2023,Monitor,Balanced supply-demand (1.10).
Assam,May,2023,Increase Supply,"Low supply (0.50), demand exceeds supply."
Meghalaya,April,2023,Increase Supply,"Low supply (0.75), demand exceeds supply."
Terai,March,2023,Reduce Supply,"High supply (1.70), oversupply risk."
Dooars,December,2023,Monitor,Balanced supply-demand (0.84).
Nilgiri,May,2023,Reduce Supply,"High supply (1.23), oversupply risk."
Meghalaya,March,2023,Increase Supply,"Low supply (0.49), demand exceeds supply."
Terai,June,2023,Increase Supply,"Low supply (0.77), demand exceeds supply."
Dooars,March,2023,Increase Supply,"Low supply (0.49), demand exceeds supply."
Darjeeling,November,2023,Increase Supply,"Low supply (0.73), demand exceeds supply."
Assam,May,2023,Increase Supply,"Low supply (0.74), demand exceeds supply."
Arunachal Pradesh,November,2023,Reduce Supply,"High supply (1.33), oversupply risk."
Munnar,August,2023,Increase Supply,"Low supply (0.49), demand exceeds supply."
Terai,April,2023,Monitor,Balanced supply-demand (0.93).
Terai,June,2023,Monitor,Balanced supply-demand (1.02).
Terai,September,2023,Increase Supply,"Low supply (0.62), demand exceeds supply."
Nilgiri,April,2023,Increase Supply,"Low supply (0.46), demand exceeds supply."
Terai,December,2023,Increase Supply,"Low supply (0.38), demand exceeds supply."
Arunachal Pradesh,March,2023,Increase Supply,"Low supply (0.55), demand exceeds supply."
Nilgiri,January,2023,Monitor,Balanced supply-demand (0.88).
Darjeeling,October,2023,Increase Supply,"Low supply (0.42), demand exceeds supply."
Tripura,June,2023,Reduce Supply,"High supply (1.91), oversupply risk."
Terai,January,2023,Reduce Supply,"High supply (1.30), oversupply risk."
Meghalaya,November,2023,Monitor,Balanced supply-demand (1.06).
Munnar,October,2023,Increase Supply,"Low supply (0.67), demand exceeds supply."
Darjeeling,July,2023,Monitor,Balanced supply-demand (0.92).
Terai,August,2023,Increase Supply,"Low supply (0.36), demand exceeds supply."
Nilgiri,February,2023,Increase Supply,"Low supply (0.38), demand exceeds supply."
Wayanad,November,2023,Increase Supply,"Low supply (0.57), demand exceeds supply."
Meghalaya,September,2023,Reduce Supply,"High supply (2.00), oversupply risk."
Terai,April,2023,Reduce Supply,"High supply (1.27), oversupply risk."
Darjeeling,March,2023,Monitor,Balanced supply-demand (0.87).
Arunachal Pradesh,May,2023,Reduce Supply,"High supply (1.52), oversupply risk."
Darjeeling,February,2023,Reduce Supply,"High supply (1.53), oversupply risk."
Dooars,May,2023,Increase Supply,"Low supply (0.42), demand exceeds supply."
Arunachal Pradesh,January,2023,Monitor,Balanced supply-demand (0.93).
Terai,May,2023,Increase Supply,"Low supply (0.39), demand exceeds supply."
Tripura,January,2023,Increase Supply,"Low supply (0.49), demand exceeds supply."
Tripura,February,2023,Increase Supply,"Low supply (0.76), demand exceeds supply."
Arunachal Pradesh,March,2023,Increase Supply,"Low supply (0.43), demand exceeds supply."
Darjeeling,January,2023,Increase Supply,"Low supply (0.48), demand exceeds supply."
Darjeeling,April,2023,Increase Supply,"Low supply (0.70), demand exceeds supply."
Dooars,April,2023,Increase Supply,"Low supply (0.72), demand exceeds supply."
Munnar,June,2023,Monitor,Balanced supply-demand (1.00).
Nilgiri,May,2023,Increase Supply,"Low supply (0.42), demand exceeds supply."
Meghalaya,April,2023,Monitor,Balanced supply-demand (0.91).
Dooars,November,2023,Increase Supply,"Low supply (0.64), demand exceeds supply."
Darjeeling,October,2023,Increase Supply,"Low supply (0.52), demand exceeds supply."
Arunachal Pradesh,October,2023,Reduce Supply,"High supply (1.72), oversupply risk."
Wayanad,February,2023,Increase Supply,"Low supply (0.67), demand exceeds supply."
Wayanad,March,2023,Monitor,Balanced supply-demand (1.11).
Arunachal Pradesh,July,2023,Reduce Supply,"High supply (1.71), oversupply risk."
Terai,November,2023,Reduce Supply,"High supply (1.90), oversupply risk."
Dooars,May,2023,Increase Supply,"Low supply (0.75), demand exceeds supply."
Meghalaya,August,2023,Reduce Supply,"High supply (1.43), oversupply risk."
Meghalaya,July,2023,Increase Supply,"Low supply (0.49), demand exceeds supply."
Munnar,March,2023,Increase Supply,"Low supply (0.51), demand exceeds supply."
Arunachal Pradesh,February,2023,Increase Supply,"Low supply (0.38), demand exceeds supply."
Munnar,October,2023,Monitor,Balanced supply-demand (1.07).
Assam,November,2023,Increase Supply,"Low supply (0.49), demand exceeds supply."
Terai,April,2023,Increase Supply,"Low supply (0.55), demand exceeds supply."
Munnar,June,2023,Increase Supply,"Low supply (0.56), demand exceeds supply."
Wayanad,February,2023,Monitor,Balanced supply-demand (0.96).
Dooars,March,2023,Increase Supply,"Low supply (0.65), demand exceeds supply."
Meghalaya,April,2023,Increase Supply,"Low supply (0.48), demand exceeds supply."
Arunachal Pradesh,August,2023,Increase Supply,"Low supply (0.50), demand exceeds supply."
Arunachal Pradesh,July,2023,Reduce Supply,"High supply (1.79), oversupply risk."
Nilgiri,September,2023,Reduce Supply,"High supply (1.45), oversupply risk."
Wayanad,August,2023,Increase Supply,"Low supply (0.66), demand exceeds supply."
Dooars,February,2023,Monitor,Balanced supply-demand (0.83).
Meghalaya,June,2023,Increase Supply,"Low supply (0.60), demand exceeds supply."
Munnar,April,2023,Increase Supply,"Low supply (0.76), demand exceeds supply."
Tripura,August,2023,Increase Supply,"Low supply (0.79), demand exceeds supply."
Tripura,March,2023,Reduce Supply,"High supply (1.51), oversupply risk."
Nilgiri,December,2023,Increase Supply,"Low supply (0.53), demand exceeds supply."
Assam,November,2023,Reduce Supply,"High supply (1.45), oversupply risk."
Wayanad,October,2023,Increase Supply,"Low supply (0.46), demand exceeds supply."
Nilgiri,October,2023,Increase Supply,"Low supply (0.36), demand exceeds supply."
Meghalaya,June,2023,Increase Supply,"Low supply (0.76), demand exceeds supply."
Assam,May,2023,Monitor,Balanced supply-demand (1.02).
Terai,August,2023,Reduce Supply,"High supply (2.24), oversupply risk."
Arunachal Pradesh,April,2023,Monitor,Balanced supply-demand (1.12).
